,Season,Episode,Scene,Scene_Start,Scene_End,Speaking_Chararacters,Appearing_Characters,Scene_Tiitles,Specific_Stories,Scene_Texts,Scene_Keybords,Scene_Entities,MRS,Scene_Links,Scene_on_Video,Scene_Topics
0,1,1,0,186.26,258.52,"will,waymar_royce,gared","gared,wight_wildling_girl,none,waymar_royce,will","Night's watch mission, The White Walkers presence",The White Walkers,"What do you expect? They are savages. One lot steals a goat from another lot and before you know it, they are ripping each other to pieces. I have never seen wildlings do a thing like this. I have never seen a thing like this, not ever in my life. How close did you get? Close as any man would. We should head back to the wall. Do the dead frighten you? Our orders were to track the wildlings. We tracked them. They will not trouble us no more. You do not think he will ask us how they died? Get back on your horse. Whatever did it to them could do it to us. They even killed the children. It a good thing we are not children. You want to run away south, run away. Of course, they will behead you as a deserter... If I do not catch you first. Get back on your horse. I will not say it again.",track never lot get run wildl thing back,[],0,1E01S3,4,[0]
1,1,1,1,258.52,337.4,"will,waymar_royce,gared","gared,waymar_royce,will","Night's watch mission, The White Walkers presence",The White Walkers,Your dead men seem to have moved camp. They were here. See where they went.,seem dead went camp see move men,[],1,1E01S4,5,[0]
2,1,1,2,391.4,418.8,"waymar_royce,gared","gared,wight_wildling_girl,white_walker,will","Night's watch mission, The White Walkers presence",The White Walkers,What is it? It...,none,[],0,1E01S5,8,[]
3,1,1,3,557.44,642.96,"jon_snow,robb_stark,sansa_stark,septa_mordane,eddard_stark","bran_stark,jon_snow,theon_greyjoy,eddard_stark,rickon_stark,sansa_stark,arya_stark,robb_stark,septa_mordane,catelyn_stark",Bran Stark's Journey,Bran Stark- Bran's training,"Go on. Father watching. And your mother. Fine work, as always. Well done. Thank you. I love the detail that you have managed to get in this corners... Quite beautiful... the stitching... And which one of you was a marksman at ten? Keep practicing, Bran. Go on. Do not think too much, Bran. Relax your bow arm. Quick Quick,, Bran Bran,, faster faster!! Lord Stark.",bran quite quick faster relax,['house_stark'],0,Non,11,[16]
4,1,1,4,642.96,698.8,"catelyn_stark,rodrik_cassel,eddard_stark","catelyn_stark,rodrik_cassel,eddard_stark","Night's watch mission, Bran Stark's Journey",The White Walkers,"My lady. A guardsman just rode in from the hills. They have captured a deserter from the Night Watch. Get the lads to saddle their horses. Do you have to? He swore an oath, Cat. The law is law, my lady. Tell Bran he coming, too. Ned. Ten is too young to see such things. He will not be a boy forever. And winter is coming. Lad, go run back and get the rest. The White Walkers. I saw the The White Walkers. The White Walkers. The White Walkers, I",ladi go law lad thing come white rest,"['lady_crane', 'white walkers', 'white walkers', 'white walkers', 'white walkers', 'white walkers', 'white walkers']",0,"1E01S8,1E01S10",12,[19]
5,1,1,5,698.8,822.8,"jon_snow,will,robb_stark,eddard_stark","bran_stark,jon_snow,theon_greyjoy,eddard_stark,robb_stark,jory_cassel,rodrik_cassel,will","Night's watch mission, The White Walkers presence",The White Walkers,"them. I know I broke my oath. And I know I am a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the The White Walkers. People need to know. If you can get word to my family, tell them I am no coward. Tell them I am sorry. Forgive me, lord. In the name of Robert of the House Baratheon, first of his name... Do not look away. King of the Andals and the First Men... Father will know if you do. Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.You did well.",lord house warden sorri know saw tell men,"['andals', 'wall', 'white walkers', 'house_baratheon', 'warden lord winterfell north and of the stark house', 'wall', 'white walkers', 'robert of the house baratheon', 'house stark lord of winterfell and warden of the north', 'wall', 'white walkers', 'robert of the house baratheon', 'house stark lord of winterfell and warden of the north']",1,"1E01S8,1E01S11,1E01S10",13,[10]
6,1,1,6,822.8,874.16,"bran_stark,eddard_stark","bran_stark,eddard_stark","The White Walkers presence, Bran Stark's Journey",Bran Stark- Bran's training,You understand why I did it? Jon said he was a deserter. But do you understand why I had to kill him? Our way is the old way? The man who passes the sentence should swing the sword. Is it true he saw the The White Walkers? The White Walkers have been gone for thousands of years. So he was lying? A madman sees what he sees.,gone sentence madman pass understand saw white,"['jon_snow', 'white walkers', 'white walkers', 'white walkers', 'white walkers', 'white walkers', 'white walkers']",0,"1E01S12,1E01S10",14,[6]
7,1,1,7,874.16,1049.72,"jon_snow,rodrik_cassel,robb_stark,bran_stark,eddard_stark,theon_greyjoy","bran_stark,summer,jon_snow,theon_greyjoy,lady,eddard_stark,ghost,grey_wind,robb_stark,jory_cassel,nymeria,rodrik_cassel,shaggydog",The direwolf,The Dire Wolf ,"What is it? Mountain lion? There are no mountain lions in these woods. It a freak. It a direwolf. Tough old beast. There are no direwolves south of the Wall. Now there are five. You want to hold it? Where will they go? Their mother dead. They do not belong down here. Better a quick death. They will not last without their mother. Right. Give it here. NO! Put away your blade. I take orders from your father, not you. Please, father! I am sorry, Bran. Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them. You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves. What about you? I am not a Stark. Get on. What is it? The runt of the litter. That one yours, Snow.",meant direwolf lion mountain right quick sigil stark five,"['house_stark', 'bran_stark', 'wall', 'stark', 'wall', 'stark', 'wall', 'stark']",0,Non,15,[0]
8,1,1,8,1090.92,1165.68,"cersei_lannister,jaime_lanniste","jon_arryn,cersei_lannister,jaime_lannister","Robert Barathaon as a King-Robert's illegitimate children-Death of Jon Arryn, Jaime Lannister deeds-Cerseil Lannister and Jaime Lannister affair,Cersei Lannister as Queen-Cerseil Lannister and Jaime Lannister affair",Robert's illegitimate children-Death of Jon Arryn,"As your brother, I feel it my duty to warn you You worry too much. It starting to show. And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid. There was nothing to be afraid of until you told father. We are Lannisters. Lannisters do not act like fools. What if Jon Arryn told someone? But who would he tell? My husband. If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or did not know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he off fucking boars and hunting whores. Or is it the other way around? And life will go on. You should be the Hand of the king. That an honor I can do without. Their days are too long, their lives are too short.",someone jon worri afraid told hand whore arryn,"['arya_stark', 'robert_baratheon', 'rock casterly', 'casterly rock', 'casterly rock']",0,Non,18,[7]
9,1,1,9,1187.4,1278.8,"catelyn_stark,eddard_stark","catelyn_stark,eddard_stark",Robert Barathaon as a King,"Robert's illegitimate children-Death of Jon Arryn, Robert Barathaon as a King- Robert Arrival at Winterfell","All these years and I still feel like an outsider when I come here. You have five northern children. You are not an outsider. I wonder if the old gods agree. It your gods with all the rules. I am so sorry, my love. Tell me. There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you. Your sister. The boy... They both have their health. Gods be good. The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them. He coming this far North, there only one thing he after. You can always say no, Ned.",sister god thing raven queen outsid rest year,"['arya_stark', 'winterfell_shepherd', 'north', 'north', 'north']",0,1E01S19,21,[19]
